sample_name,species,AMC (disk),AMK (disk),AMK (mic),AMK (vitek),AMP (vitek),AMX (disk),AMX (vitek),ATM (disk),ATM (vitek),CAZ (disk),CAZ (mic),CAZ (vitek),CHL (vitek),CIP (disk),CIP (vitek),COL (mic),CRO (mic),CRO (vitek),CTX (disk),CTX (mic),CTX (vitek),CXM (vitek),CZA (disk),CZA (vitek),CZT (disk),CZT (vitek),ETP (disk),ETP (mic),ETP (vitek),FEP (disk),FEP (mic),FEP (vitek),FOS (disk),FOX (disk),FOX (vitek),GEN (disk),GEN (mic),GEN (vitek),IPM (disk),IPM (mic),IPM (vitek),LVX (disk),LVX (vitek),MEC (disk),MEM (disk),MEM (mic),MEM (vitek),NAL (vitek),NET (disk),OFX (vitek),PIP (vitek),PRL (disk),SXT (disk),SXT (vitek),TCC (disk),TCC (vitek),TGC (disk),TGC (vitek),TIC (disk),TIC (vitek),TOB (disk),TOB (vitek),TZP (disk),TZP (mic),TZP (vitek),AMC (disk) cat,AMK (disk) cat,AMK (mic) cat,AMK (vitek) cat,AMP (vitek) cat,AMX (disk) cat,AMX (vitek) cat,ATM (disk) cat,ATM (vitek) cat,CAZ (disk) cat,CAZ (mic) cat,CAZ (vitek) cat,CHL (vitek) cat,CIP (disk) cat,CIP (vitek) cat,COL (mic) cat,CRO (mic) cat,CRO (vitek) cat,CTX (disk) cat,CTX (mic) cat,CTX (vitek) cat,CXM (vitek) cat,CZA (disk) cat,CZA (vitek) cat,CZT (disk) cat,CZT (vitek) cat,ETP (disk) cat,ETP (mic) cat,ETP (vitek) cat,FEP (disk) cat,FEP (mic) cat,FEP (vitek) cat,FOS (disk) cat,FOX (disk) cat,FOX (vitek) cat,GEN (disk) cat,GEN (mic) cat,GEN (vitek) cat,IPM (disk) cat,IPM (mic) cat,IPM (vitek) cat,LVX (disk) cat,LVX (vitek) cat,MEC (disk) cat,MEM (disk) cat,MEM (mic) cat,MEM (vitek) cat,NAL (vitek) cat,NET (disk) cat,OFX (vitek) cat,PIP (vitek) cat,PRL (disk) cat,SXT (disk) cat,SXT (vitek) cat,TCC (disk) cat,TCC (vitek) cat,TGC (disk) cat,TGC (vitek) cat,TIC (disk) cat,TIC (vitek) cat,TOB (disk) cat,TOB (vitek) cat,TZP (disk) cat,TZP (mic) cat,TZP (vitek) cat
SERMAR15,Serratia marcescens,6.0,6.0,64.0,32.0,,6.0,16.0,7.0,32.0,6.0,32.0,32.0,,12.0,2.0,8.0,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,6.0,8.0,,6.0,32.0,16.0,25.0,6.0,32.0,6.0,16.0,8.0,6.0,16.0,,8.0,4.0,6.0,6.0,32.0,8.0,16.0,6.0,4.0,64.0,11.0,6.0,160.0,6.0,,10.0,,6.0,64.0,6.0,8.0,21.0,4.0,4.0,R,R,R,R,NA,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,NA,R,R,R,S,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,NA,R,R,R,R,S,S,S
ENTCLOCO22,Enterobacter cloacae cloacae,6.0,20.0,2.0,2.0,,6.0,16.0,16.0,16.0,6.0,32.0,32.0,32.0,24.0,0.5,0.5,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,19.0,1.0,4.0,9.0,32.0,16.0,23.0,6.0,32.0,7.0,16.0,8.0,18.0,8.0,8.0,28.0,0.5,6.0,21.0,2.0,8.0,,12.0,0.5,64.0,6.0,6.0,160.0,6.0,64.0,24.0,,6.0,64.0,10.0,8.0,6.0,64.0,64.0,R,S,S,S,NA,R,R,R,R,R,R,R,R,U,R,S,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,S,R,U,S,R,NA,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
KLEPNE34,Klebsiella pneumoniae,6.0,21.0,4.0,4.0,16.0,6.0,16.0,6.0,32.0,6.0,32.0,32.0,32.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,16.0,8.0,6.0,16.0,13.0,4.0,4.0,6.0,32.0,16.0,18.0,15.0,16.0,24.0,0.5,1.0,30.0,0.25,1.0,6.0,4.0,6.0,28.0,1.0,1.0,16.0,13.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,18.0,,6.0,64.0,11.0,8.0,6.0,64.0,64.0,R,S,S,S,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,R,S,S,S,R,U,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R
COLI100,Escherichia coli,,,64.0,32.0,16.0,,,,16.0,,4.0,4.0,2.0,,2.0,8.0,2.0,32.0,,2.0,32.0,32.0,,0.12,,0.25,,0.06,0.5,,16.0,16.0,,,8.0,,2.0,8.0,,0.25,0.25,,4.0,,,0.06,0.25,16.0,,4.0,64.0,,,160.0,,64.0,,0.5,,64.0,,8.0,,8.0,64.0,NA,NA,R,R,R,NA,NA,NA,R,NA,R,R,S,NA,R,R,R,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,R,R,NA,NA,R,NA,R,R,NA,S,S,NA,R,NA,NA,S,S,R,NA,R,R,NA,NA,R,NA,R,NA,R,NA,R,NA,R,NA,R,R
KLEPNE42,Klebsiella pneumoniae,6.0,22.0,2.0,2.0,16.0,6.0,16.0,6.0,32.0,6.0,32.0,32.0,16.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,22.0,1.0,11.0,16.0,9.0,8.0,4.0,6.0,32.0,16.0,20.0,7.0,32.0,23.0,0.5,1.0,22.0,2.0,2.0,6.0,4.0,20.0,18.0,4.0,8.0,16.0,15.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,21.0,,6.0,64.0,12.0,8.0,6.0,64.0,64.0,R,S,S,S,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,S,S,R,R,R,R,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,S,U,U,R,R,S,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
COLI101,Escherichia coli,,,2.0,2.0,16.0,,,,16.0,,8.0,4.0,4.0,,0.25,4.0,2.0,32.0,,2.0,32.0,32.0,,0.25,,1.0,,0.06,0.5,,4.0,8.0,,,4.0,,0.5,1.0,,0.12,0.25,,0.25,,,0.06,0.25,16.0,,0.5,64.0,,,160.0,,64.0,,0.5,,64.0,,1.0,,2.0,4.0,NA,NA,S,S,R,NA,NA,NA,R,NA,R,R,S,NA,S,R,R,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,R,R,NA,NA,S,NA,S,S,NA,S,S,NA,S,NA,NA,S,S,R,NA,R,R,NA,NA,R,NA,R,NA,R,NA,R,NA,S,NA,S,S
HAFPAR2,Hafnia paralvei,6.0,27.0,2.0,2.0,16.0,6.0,16.0,36.0,1.0,21.0,4.0,4.0,4.0,38.0,0.25,8.0,1.0,2.0,19.0,2.0,4.0,,28.0,0.5,26.0,1.0,19.0,2.0,4.0,32.0,0.5,0.12,31.0,25.0,4.0,26.0,0.5,1.0,23.0,4.0,8.0,36.0,0.12,22.0,25.0,2.0,8.0,2.0,25.0,0.25,64.0,7.0,28.0,20.0,6.0,64.0,23.0,,6.0,64.0,25.0,1.0,7.0,64.0,64.0,R,S,S,S,R,R,R,S,S,R,R,R,S,S,S,R,S,R,U,R,R,NA,S,S,S,S,R,R,R,S,S,S,S,S,S,S,S,S,S,R,R,S,S,S,S,S,R,S,S,S,R,R,S,R,R,R,S,NA,R,R,S,S,R,R,R
ENTHOR71,Enterobacter hormaechei xiangfangensis,7.0,22.0,2.0,2.0,,6.0,16.0,6.0,32.0,6.0,32.0,32.0,16.0,11.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,7.0,8.0,,7.0,32.0,16.0,18.0,6.0,32.0,7.0,16.0,8.0,16.0,16.0,8.0,9.0,4.0,8.0,11.0,32.0,,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,23.0,,6.0,64.0,9.0,8.0,6.0,64.0,64.0,R,S,S,S,NA,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,NA,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
KLEPNE72,Klebsiella pneumoniae,6.0,6.0,64.0,32.0,16.0,6.0,16.0,6.0,32.0,6.0,32.0,32.0,32.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,6.0,8.0,4.0,6.0,32.0,16.0,10.0,6.0,32.0,6.0,16.0,8.0,10.0,16.0,8.0,6.0,4.0,9.0,6.0,32.0,8.0,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,16.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R
MORMOG13,Morganella morganii,6.0,6.0,64.0,32.0,16.0,6.0,16.0,25.0,1.0,155.0,16.0,4.0,8.0,6.0,2.0,8.0,16.0,16.0,6.0,16.0,32.0,,22.0,0.25,7.0,16.0,18.0,2.0,,16.0,16.0,16.0,6.0,6.0,32.0,6.0,16.0,8.0,15.0,16.0,8.0,6.0,4.0,6.0,19.0,4.0,,16.0,6.0,4.0,64.0,7.0,14.0,20.0,6.0,64.0,17.0,,6.0,64.0,6.0,8.0,13.0,32.0,8.0,R,R,R,R,R,R,R,U,S,S,R,R,S,R,R,R,R,R,R,R,R,NA,S,S,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,U,U,NA,R,R,R,R,R,S,R,R,R,R,NA,R,R,R,R,R,R,R
